id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
242892,3897,KSPI,7000,150,ASP,1,0,13,39.8494987487793,-89.6875991821289,589,127,600,31,39.8380012512207,-89.6676025390625,583,307,
242893,3897,KSPI,5300,150,PEM,1,0,18,39.850299835205,-89.6794967651367,590,180,,36,39.8358001708984,-89.6799011230468,587,360,
243540,3898,KSPS,10003,150,PEM,1,0,15C,34.0063018798828,-98.4971008300781,1002,158.3,,33C,33.9807014465332,-98.4849014282226,989,338.3,
243542,3898,KSPS,6000,150,PEM,1,0,15L,34.0111999511718,-98.4933013916015,1019,158.3,,33R,33.9958992004394,-98.4859008789062,999,338.3,
243541,3898,KSPS,13101,300,CON,1,0,15R,34.0038986206054,-98.4994964599609,1000,158.3,,33L,33.9702987670898,-98.4834976196289,998,338.3,
243543,3898,KSPS,7021,150,ASP,1,0,17,33.9823989868164,-98.4957962036132,1001,180.5,,35,33.9631004333496,-98.4960021972656,1014,0.5,
241763,21103,KSPW,6000,100,CON,1,0,12,43.1707000732421,-95.2121963500976,1339,126.2,,30,43.1609992980957,-95.1940002441406,1337,306.2,500
241764,21103,KSPW,5100,75,CON,1,0,18,43.1721000671386,-95.2015991210937,1337,185.6,,36,43.1581993103027,-95.2033996582031,1336,5.6,
240330,19345,KSPZ,5998,75,ASP,1,0,5,39.4001007080078,-119.261001586914,4265,69,,23,39.4059982299804,-119.240997314453,4214,249,
242117,21104,KSQI,6500,150,ASP,1,0,7,41.739200592041,-89.684700012207,647,70.1,,25,41.7452011108398,-89.6623001098632,647,250.1,
242118,21104,KSQI,3899,100,ASP,1,0,18,41.7492980957031,-89.6809005737304,641,180.1,,36,41.7386016845703,-89.6809005737304,644,0.1,
239757,21105,KSQL,2600,75,ASP,1,0,12,37.5144996643066,-122.25299835205,5,137.5,,30,37.5092010498046,-122.247001647949,5,317.5,
241204,21106,KSRB,6000,100,ASP,1,0,4,36.0490989685058,-85.5364990234375,1025,34.7,,22,36.0626983642578,-85.52490234375,1023,214.7,
245176,21107,KSRC,6008,100,ASP,1,0,1,35.2025985717773,-91.7397003173828,235,13,500,19,35.2187004089355,-91.7352981567382,264,193,
244374,21108,KSRE,2000,150,GRE,0,0,5,35.2701988220214,-96.678596496582,995,36,,23,35.274600982666,-96.6745986938476,1012,216,
244375,21108,KSRE,5000,75,ASP,1,0,16,35.2823982238769,-96.677001953125,1024,166,,34,35.2691001892089,-96.6727981567382,1000,346,
244056,3899,KSRQ,5009,150,ASP,1,0,4,27.3899993896484,-82.5577011108398,23,38,,22,27.400800704956,-82.5481033325195,25,218,
244057,3899,KSRQ,9500,150,ASP,1,0,14,27.4046001434326,-82.5655975341796,24,134,1350,32,27.3862991333007,-82.5447006225586,28,314,1147
243393,3900,KSRR,8099,100,ASP,1,0,6,33.459300994873,-105.546997070312,6814,71,,24,33.4664001464843,-105.522003173828,6751,251,
243394,3900,KSRR,6500,75,ASP,1,0,12,33.4640007019043,-105.53099822998,6769,130,,30,33.4525985717773,-105.513999938964,6718,310,
244211,3901,KSSC,10016,150,CON,1,0,04L,33.9617004394531,-80.4814987182617,238,34.7,,22R,33.9842987060546,-80.4626998901367,241,214.7,
244210,3901,KSSC,8001,150,CON,1,0,04R,33.9632987976074,-80.4761962890625,237,34.7,,22L,33.9813995361328,-80.4610977172851,235,214.7,
243446,21109,KSSF,4835,100,ASP,1,0,9,29.3384990692138,-98.4809036254882,577,102.5,206,27,29.3356990814209,-98.4661026000976,564,282.5,
243447,21109,KSSF,4128,100,ASP,1,0,14,29.3416004180908,-98.4720001220703,571,145.4,584,32,29.3321990966796,-98.4646987915039,556,325.4,372
